code,subpart,topic,ccar23_article,ccar23_page,ccar23_title,ccar27_article,ccar27_page,ccar27_title,ccar25_29_note,umr_article,umr_page,umr_title,upl_article,upl_page,upl_title,diff_type,observation,aec_article,aec_page,aec_title,peu_article,peu_page,peu_title,hy_article,hy_page,hy_title
2220,C,地面载荷和水载荷情况,23.2220,19,地面载荷和水载荷情况,,,,,UMR.2220,21,地面载荷和水载荷情况,UPL.2220,23,地面载荷和水载荷情况,相同,,AEC.2220,13,地面载荷情况,PEU.C020,12,地面载荷和水载荷情况,HY.473,37,地面载荷情况和假定
2225,C,部件载荷情况,23.2225,19,部件载荷情况,,,,,UMR.2225,21,部件载荷情况,UPL.2225,23,部件载荷情况,相同,,AEC.2225,13,部件载荷情况,PEU.C025,12,部件载荷情况,,,
2230,C,限制和极限载荷,23.2230,20,限制和极限载荷,,,,,UMR.2230,21,限制和极限载荷,UPL.2230,24,限制和极限载荷,相同,,AEC.2230,13,限制和极限载荷,PEU.C030,12,限制和极限载荷,,,
2235,C,结构强度,23.2235,21,结构强度,,,,,UMR.2235,22,结构强度,UPL.2235,24,结构强度,相同,,AEC.2235,13,应急着陆情况,PEU.C035,12,结构强度,,,
2240,C,结构耐久性,23.2240,21,结构耐久性,,,,,UMR.2240,22,结构耐久性,UPL.2240,25,结构耐久性,相同,,AEC.2240,13,结构强度,PEU.C040,12,结构耐久性,,,
2245,C,气动弹性,23.2245,22,气动弹性,,,,,,,,UPL.2245,25,气动弹性,相同,,AEC.2245,14,结构耐久性,PEU.C045,12,气动弹性,,,
2250,C,设计和构造原理,23.2250,22,设计和构造原理,,,,,UMR.2250,23,设计和构造原理,UPL.2250,26,设计和构造原理,相同,,AEC.2250,14,振动,PEU.C050,13,设计和构造原理,,,
2255,C,结构保护,23.2255,23,结构保护,,,,,UMR.2255,23,结构保护,UPL.2255,26,结构保护,相同,,,,,PEU.C055,13,结构保护,HY.609,39,结构保护
2260,C,材料和工艺,23.2260,23,材料和工艺,,,,,UMR.2260,24,材料和工艺,UPL.2260,27,材料和工艺,相同,,,,,PEU.C060,13,材料和工艺,HY.603,39,材料和工艺质量
2265,C,特殊安全系数,23.2265,24,特殊安全系数,,,,,UMR.2265,24,特殊安全系数,UPL.2265,27,特殊安全系数,相同,,,,,PEU.C065,13,特殊安全系数,HY.303,24,安全系数
2270,C,有效载荷舱,23.2270,25,应急情况,,,,,UMR.2270,25,有效载荷舱,UPL.2270,28,储存舱,方式转换,,,,,,,,HY.775,51,有效载荷舱玻璃
2300,D,飞行控制系统,23.2300,27,飞行操纵系统,,,,,UMR.2300,26,飞行控制系统,UPL.2300,29,飞行操纵系统,方式转换,,AEC.2300,15,设计与构造原理,,,,HY.865,52,飞行控制系统、发动机架和其他飞行结构的防火
2305,D,起落架系统,23.2305,27,起落架系统,,,,,UMR.2305,26,起落架系统,UPL.2305,29,起落架系统,相同,,AEC.2305,15,材料和工艺,PEU.D005,15,起落架系统,,,
2306,D,伞降系统,,,,,,,,UMR.2306,27,伞降系统,,,,新增,,,,,,,,,,
2310,D,漂浮,23.2310,28,水上飞机和水陆两用飞机的浮力,,,,,UMR.2310,27,漂浮,,,,方式转换,,AEC.2310,15,制造方法,,,,,,
2311,D,鸟撞,,,,,,,,,,,UPL.2311,30,鸟撞,新增,,,,,,,,,,
2315,D 设计和构造,撤离设施和应急出口,23.2315,28,撤离设施和应急出口,,,,,,,,,,,整章删除,,AEC.2315,15,结构保护,PEU.D015,15,撤离设施,,,
2320,D 设计和构造,乘员物理环境,23.2320,29,乘员物理环境,,,,,,,,,,,整章删除,,AEC.2320,16,检查措施,PEU.D020,16,乘员物理环境,,,
2325,D,防火,23.2325,29,防火,,,,,UMR.2325,28,防火,UPL.2325,30,防火,相同,,AEC.2325,16,特殊安全系数,PEU.D025,16,防火,,,
2330,D,火区和邻近区域的防火,23.2330,31,指定火区和邻近区域的防火,,,,,UMR.2330,28,火区和邻近区域的防火,UPL.2330,31,火区和邻近区域的防火,方式转换,,AEC.2330,16,飞行操纵系统,PEU.D030,16,指定火区和邻近区域的防火,,,
2335,D,闪电与静电防护,,,,,,,,UMR.2335,29,闪电与静电防护,UPL.2335,31,闪电和静电防护,新增,,AEC.2335,17,起落架,,,,HY.867,52,电气搭铁和闪电与静电防护
2340,D,外挂物,,,,,,,,UMR.2340,29,外挂物,,,,新增,,AEC.2340,17,货舱和有效载荷舱防火,,,,,,
2350,D,外部货物载荷,,,,,,,,,,,UPL.2350,31,外部货物载荷,新增,,AEC.2350,17,闪电和静电防护,,,,,,
2400,E,动力装置安装,23.2400,32,动力装置安装,,,,,UMR.2400,29,动力装置安装,UPL.2400,32,动力装置安装,相同,,AEC.2400,19,动力装置及其安装,PEU.E000,18,动力装置安装,HY.939,56,动力装置的工作特性
2405,E,功率或升力控制系统,23.2405,32,功率或者推力控制系,,,,,UMR.2405,30,功率或升力控制系统,UPL.2405,33,功率或者升力/推力控制系统,方式转换,,AEC.2405,19,动力控制系统,PEU.E005,18,功率或升力/推力控制系统,,,
2410,E,动力装置安装危害性评估,23.2410,33,动力装置安装危害性评估,,,,,UMR.2410,31,动力装置安装危害性评估,UPL.2410,34,动力装置安装危害性评估,相同,,AEC.2410,19,动力装置工作特性,PEU.E010,18,动力装置安装危害性评估,,,
2415,E,动力装置防冰,23.2415,33,动力装置防冰,,,,,UMR.2415,31,动力装置防冰,UPL.2415,34,动力装置防冰,相同,,AEC.2415,20,电池和配电系统,PEU.E015,18,动力装置防冰,,,
2420,E 动力装置,反推力系统,23.2420,34,反推力系统,,,,,,,,,,,整章删除,,AEC.2420,20,动力装置防火,,,,HY.933,55,反推力系统
2425,E,动力装置工作特性,23.2425,34,动力装置工作特性,,,,,UMR.2425,31,动力装置工作特性,UPL.2425,34,动力装置工作特性,相同,,AEC.2425,20,动力装置安装信息,PEU.E020,19,动力装置工作特性,,,
2430,E,能量存储和分配系统,23.2430,34,燃油系统,,,,,UMR.2430,31,能量存储和分配系统,UPL.2430,34,能量存储和分配系统,方式转换,,,,,,,,,,
2435,E,进气和排气系统,23.2435,36,动力装置进气和排气系统,,,,,UMR.2435,33,进气和排气系统,UPL.2435,36,动力装置进气和排气系统,方式转换,,,,,,,,HY.1123,69,排气系统
2440,E,动力装置防火,23.2440,36,动力装置防火,,,,,UMR.2440,33,动力装置防火,UPL.2440,37,动力装置防火,相同,,,,,PEU.E035,19,动力装置防火,,,
2445,E,动力装置安装信息,,,,,,,,,,,UPL.2445,38,动力装置安装信息,新增,,,,,PEU.E040,19,动力装置安装信息,,,
2450,E,旋翼传动系统的设计,,,,,,,,,,,UPL.2450,38,旋翼传动系统的设计,新增,,,,,,,,,,
2455,E,旋翼传动系统的旋翼刹车,,,,,,,,,,,UPL.2455,39,旋翼传动系统的旋翼刹车,新增,,,,,,,,,,
2460,E,旋翼传动系统和操纵机构的试验,,,,,,,,,,,UPL.2460,39,旋翼传动系统和操纵机构的试验,新增,,,,,,,,,,
2465,E,旋翼传动系统的附加试验,,,,,,,,,,,UPL.2465,42,旋翼传动系统的附加试验,新增,,,,,,,,,,
2470,E,旋翼传动系统轴系的临界转速,,,,,,,,,,,UPL.2470,43,旋翼传动系统轴系的临界转速,新增,,,,,,,,,,
2500,F,无人驾驶航空器系统要求,23.2500,38,飞机级系统要求,,,,,UMR.2500,34,无人驾驶航空器系统要求,UPL.2500,44,系统和设备要求,方式转换,,AEC.2500,22,系统和设备功能通用要求,PEU.F000,20,航空器系统要求,,,
2510,F,系统、设备和安装,23.2510,38,系统、设备和安装,,,,,UMR.2510,34,系统、设备和安装,UPL.2510,44,系统、设备和安装,相同,,AEC.2510,22,设备、系统及安装,PEU.F010,20,系统、设备和安装,,,
2515,F,电子和电气系统闪电防护,23.2515,38,电子和电气系统闪电防护,,,,,UMR.2515,34,电子和电气系统闪电防护,UPL.2515,45,电子和电气系统闪电防护,相同,,AEC.2515,22,电源和配电系统,PEU.F025,20,电子和电气系统闪电防护,,,
2516,F,电气线路互联系统(EWIS),,,,,,,,,,,UPL.2516,45,电气线路互联系统(EWIS),新增,,,,,,,,,,
2520,F,高强辐射场(HIRF)防护,23.2520,39,高强辐射场(HIRF)防护,,,,,UMR.2520,35,高强辐射场(HIRF)防护,UPL.2520,46,高强辐射场(HIRF)防护,相同,,AEC.2520,22,灯光和照明,,,,,,
2525,F,电源和配电系统,23.2525,40,电源和配电系统,,,,,UMR.2525,36,电源和配电系统,UPL.2525,46,电源和配电系统,相同,,AEC.2525,23,飞行控制系统,PEU.F035,21,电源和配电系统,,,
2530,F,无人驾驶航空器灯光和照明,23.2530,40,外部和驾驶舱照明,,,,,UMR.2530,36,无人驾驶航空器灯光和照明,UPL.2530,47,无人驾驶航空器灯光和照明,方式转换,,,,,PEU.F040,21,航空器灯光和照明,,,
2540,F,在结冰条件下飞行,23.2540,41,在结冰条件下飞行,,,,,UMR.2540,37,在结冰条件下飞行,UPL.2540,47,在结冰条件下飞行,相同,,,,,,,,,,
2555,F,飞行数据记录器,23.2555,41,驾驶舱话音记录器,,,,,UMR.2555,37,飞行数据记录器,,,,方式转换,,,,,,,,,,
2560,F,飞行数据记录器,23.2560,45,飞行数据记录器,,,,,,,,UPL.2560,48,飞行数据记录器,相同,,,,,,,,,,
2565,F,无人驾驶航空器网络安保,,,,,,,,UMR.2565,38,无人驾驶航空器网络安保,UPL.2565,49,无人驾驶航空器网络安保,新增,,,,,,,,,,
2570,F,电子围栏,,,,,,,,UMR.2570,39,电子围栏,UPL.2570,49,电子围栏,新增,,,,,,,,,,
2580,F,探测与避让,,,,,,,,UMR.2580,39,探测与避让,UPL.2580,50,探测与避让,新增,,,,,PEU.F075,23,探测与避让,,,
2600,G 飞行机组界面和其他信息,飞行机组界面,23.2600,48,飞行机组界面,,,,,,,,,,,整章删除,,AEC.2600,24,使用限制总则,,,,,,
2605,G 飞行机组界面和其他信息,安装和使用,23.2605,48,安装和使用,,,,,,,,,,,整章删除,,AEC.2605,24,至第AEC.2615,PEU.G010,24,安装和使用,,,
2610,G,无人驾驶航空器系统的标记及标牌,23.2610,49,仪表标记、操纵器件标记及标牌,,,,,UMR.2610,40,无人驾驶航空器系统的标记及标牌,UPL.2610,51,无人驾驶航空器系统的标记标牌,方式转换,,AEC.2610,24,标记标牌,,,,,,
2615,G 飞行机组界面和其他信息,飞行、导航和动力装置仪表,23.2615,49,飞行、导航和动力装置仪表,,,,,,,,,,,整章删除,,AEC.2615,24,其他使用限制,PEU.G005,24,飞行、导航和动力装置仪表,,,
2620,G,飞行手册,23.2620,49,飞机飞行手册,,,,,UMR.2620,40,飞行手册,UPL.2620,51,飞行手册,方式转换,,AEC.2620,24,飞行手册,PEU.G020,25,飞行手册,,,
2625,G,持续适航文件,23.2625,50,持续适航文件,,,,,UMR.2625,41,持续适航文件,UPL.2625,51,持续适航文件,相同,,AEC.2625,24,持续适航文件,PEU.G025,25,持续适航文件,HY.1529,89,持续适航文件
2635,G,运输、储存和组装,,,,,,,,UMR.2635,41,运输、储存和组装,UPL.2635,52,运输、储存和组装,新增,,,,,,,,,,
2700,H 电动飞机动力装置补充要求,电推进系统,23.2700,51,电推进系统,,,,,,,,,,,整章删除,,AEC.2700,26,数据链路总则,,,,,,
2705,H 电动飞机动力装置补充要求,电池和配电系统,23.2705,51,电池和配电系统,,,,,,,,,,,整章删除,,AEC.2705,26,数据链路性能,,,,,,
2710,H 电动飞机动力装置补充要求,电池和电动力系统防火,23.2710,52,电池和电动力系统防火,,,,,,,,,,,整章删除,,AEC.2710,26,电磁抗干扰和电磁兼容性,,,,,,
2800,I 附　　则,施行,23.2800,53,施行,,,,,,,,,,,整章删除,,AEC.2800,28,地面控制站总则,,,,,,
3304,H,持续适航文件,,,,,,,,UMR.3304,42,持续适航文件,UPL.3304,52,持续适航文件,新增,,,,,,,,,,
3305,H,电动发动机安装和使用说明手册,,,,,,,,UMR.3305,42,电动发动机安装和使用说明手册,UPL.3305,53,电动发动机安装和使用说明手册,新增,,,,,,,,,,
3307,H,电动发动机额定功率和使用限制,,,,,,,,UMR.3307,44,电动发动机额定功率和使用限制,UPL.3307,54,电动发动机额定功率和使用限制,新增,,,,,,,,,,
3308,H,电动发动机功率和扭矩额定值的选定,,,,,,,,UMR.3308,45,电动发动机功率和扭矩额定值的选定,UPL.3308,55,电动发动机功率和扭矩额定值的选定,新增,,,,,,,,,,
3315,H,材料,,,,,,,,UMR.3315,45,材料,UPL.3315,55,材料,新增,,,,,,,,,,
3317,H,防火,,,,,,,,UMR.3317,45,防火,UPL.3317,56,防火,新增,,,,,,,,,,
3319,H,耐久性,,,,,,,,UMR.3319,46,耐久性,UPL.3319,57,耐久性,新增,,,,,,,,,,
3321,H,电动发动机冷却,,,,,,,,UMR.3321,47,电动发动机冷却,UPL.3321,57,电动发动机冷却,新增,,,,,,,,,,
3323,H,安装构件和结构,,,,,,,,UMR.3323,47,安装构件和结构,UPL.3323,57,安装构件和结构,新增,,,,,,,,,,
3325,H,附件连接装置,,,,,,,,UMR.3325,47,附件连接装置,UPL.3325,58,附件连接装置,新增,,,,,,,,,,
3326,H,电动发动机电气系统,,,,,,,,UMR.3326,48,电动发动机电气系统,UPL.3326,58,电动发动机电气系统,新增,,,,,,,,,,
3327,H,超速,,,,,,,,UMR.3327,50,超速,UPL.3327,60,超速,新增,,,,,,,,,,
3328,H,电动发动机控制系统,,,,,,,,UMR.3328,50,电动发动机控制系统,UPL.3328,61,电动发动机控制系统,新增,,,,,,,,,,
3329,H,仪表连接,,,,,,,,UMR.3329,53,仪表连接,UPL.3329,63,仪表连接,新增,,,,,,,,,,
3362,H,应力分析,,,,,,,,UMR.3362,54,应力分析,UPL.3362,64,应力分析,新增,,,,,,,,,,
3363,H,振动,,,,,,,,UMR.3363,54,振动,UPL.3363,65,振动,新增,,,,,,,,,,
3364,H,液体和气体系统,,,,,,,,UMR.3364,55,液体和气体系统,UPL.3364,65,液体和气体系统,新增,,,,,,,,,,
3370,H,关键件与限寿件,,,,,,,,UMR.3370,55,关键件与限寿件,UPL.3370,66,关键件和限寿件,新增,,,,,,,,,,
3371,H,润滑系统,,,,,,,,UMR.3371,57,润滑系统,UPL.3371,67,润滑系统,新增,,,,,,,,,,
3373,H,功率响应,,,,,,,,UMR.3373,57,功率响应,UPL.3373,68,功率响应,新增,,,,,,,,,,
3374,H,持续转动,,,,,,,,UMR.3374,58,持续转动,UPL.3374,68,持续转动,新增,,,,,,,,,,
3375,H,,,,,,,,,UMR.3375,52,,UPL.3375,63,,新增,,,,,,,,,,
3377,H,外物吸入,,,,,,,,UMR.3377,61,外物吸入,UPL.3377,72,外物吸入,新增,,,,,,,,,,
3383,H,振动演示,,,,,,,,UMR.3383,62,振动演示,UPL.3383,72,振动演示,新增,,,,,,,,,,
3384,H,超扭试验,,,,,,,,UMR.3384,62,超扭试验,UPL.3384,72,超扭试验,新增,,,,,,,,,,
3385,H,校准试验,,,,,,,,UMR.3385,62,校准试验,UPL.3385,73,校准试验,新增,,,,,,,,,,
3387,H,持久演示,,,,,,,,UMR.3387,63,持久演示,UPL.3387,73,持久演示,新增,,,,,,,,,,
3388,H,超温试验,,,,,,,,UMR.3388,63,超温试验,UPL.3388,73,超温试验,新增,,,,,,,,,,
3389,H,"的可操作性要求,但功能能力略有下降",,,,,,,,UMR.3389,60,"的可操作性要求,但功能能力略有下降",UPL.3389,73,工作演示,新增,,,,,,,,,,
3390,H,耐久演示,,,,,,,,UMR.3390,63,耐久演示,UPL.3390,74,耐久演示,新增,,,,,,,,,,
3391,H,系统和部件试验,,,,,,,,UMR.3391,64,系统和部件试验,UPL.3391,74,系统和部件试验,新增,,,,,,,,,,
3392,H,转子锁定演示,,,,,,,,UMR.3392,64,转子锁定演示,UPL.3392,74,转子锁定演示,新增,,,,,,,,,,
3393,H,分解检查,,,,,,,,UMR.3393,64,分解检查,UPL.3393,74,分解检查,新增,,,,,,,,,,
3394,H,包容性,,,,,,,,UMR.3394,65,包容性,UPL.3394,75,包容性,新增,,,,,,,,,,
3395,H,电动发动机-螺旋桨系统试验,,,,,,,,UMR.3395,65,电动发动机-螺旋桨系统试验,UPL.3395,75,电动发动机-螺旋桨系统试验,新增,,,,,,,,,,
3399,H,台架试验的一般实施,,,,,,,,UMR.3399,65,台架试验的一般实施,UPL.3399,76,台架试验的一般实施,新增,,,,,,,,,,
3501,I,概述,,,,,,,,UMR.3501,66,概述,UPL.3501,76,概述,新增,,,,,,,,,,
3503,I,螺旋桨安装和使用说明手册,,,,,,,,UMR.3503,67,螺旋桨安装和使用说明手册,UPL.3503,77,螺旋桨安装和使用说明手册,新增,,,,,,,,,,
3504,I,持续适航文件,,,,,,,,UMR.3504,67,持续适航文件,UPL.3504,77,持续适航文件,新增,,,,,,,,,,
3505,I,螺旋桨的额定值和使用限制,,,,,,,,UMR.3505,67,螺旋桨的额定值和使用限制,UPL.3505,78,螺旋桨的额定值和使用限制,新增,,,,,,,,,,
3507,I,特征和特性,,,,,,,,UMR.3507,68,特征和特性,UPL.3507,78,特征和特性,新增,,,,,,,,,,
3515,I,安全性分析,,,,,,,,UMR.3515,68,安全性分析,UPL.3515,78,安全性分析,新增,,,,,,,,,,
3516,I,螺旋桨关键件,,,,,,,,UMR.3516,71,螺旋桨关键件,UPL.3516,81,螺旋桨关键件,新增,,,,,,,,,,
3517,I,材料和制造方法,,,,,,,,UMR.3517,71,材料和制造方法,UPL.3517,81,材料和制造方法,新增,,,,,,,,,,
3521,I,可变距螺旋桨,,,,,,,,UMR.3521,72,可变距螺旋桨,UPL.3521,82,可变距和可反桨螺旋桨,新增,,,,,,,,,,
3522,I,可顺桨螺旋桨,,,,,,,,,,,UPL.3522,82,可顺桨螺旋桨,新增,,,,,,,,,,
3523,I,螺旋桨控制系统,,,,,,,,UMR.3523,72,螺旋桨控制系统,UPL.3523,83,螺旋桨控制系统,新增,,,,,,,,,,
3524,I,强度,,,,,,,,UMR.3524,73,强度,,,,新增,,,,,,,,,,
3533,I,试验和检查总则,,,,,,,,UMR.3533,74,试验和检查总则,UPL.3533,84,总则,新增,,,,,,,,,,
3534,I,检查、调整和修理,,,,,,,,UMR.3534,74,检查、调整和修理,UPL.3534,85,检查、调整和修理,新增,,,,,,,,,,
3535,I,离心载荷试验,,,,,,,,UMR.3535,74,离心载荷试验,UPL.3535,85,离心载荷试验,新增,,,,,,,,,,
3536,I,鸟撞,,,,,,,,UMR.3536,75,鸟撞,UPL.3536,86,鸟撞,新增,,,,,,,,,,
3537,I,疲劳极限和评估,,,,,,,,UMR.3537,75,疲劳极限和评估,UPL.3537,86,疲劳极限和评估,新增,,,,,,,,,,
3538,I,闪电,,,,,,,,UMR.3538,76,闪电,UPL.3538,87,闪电,新增,,,,,,,,,,
3539,I,持久试验,,,,,,,,UMR.3539,76,持久试验,UPL.3539,87,持久试验,新增,,,,,,,,,,
3540,I,功能试验,,,,,,,,UMR.3540,78,功能试验,UPL.3540,88,功能试验,新增,,,,,,,,,,
3541,I,超转和超扭,,,,,,,,UMR.3541,78,超转和超扭,UPL.3541,89,超转和超扭,新增,,,,,,,,,,
3542,I,螺旋桨控制系统部件,,,,,,,,UMR.3542,79,螺旋桨控制系统部件,UPL.3542,90,螺旋桨控制系统部件,新增,,,,,,,,,,
3543,I,螺旋桨液压部件,,,,,,,,UMR.3543,79,螺旋桨液压部件,,,,新增,,,,,,,,,,
4100,L,总则,,,,,,,,UMR.4100,80,总则,UPL.4100,90,总则,新增,,,,,,,,,,
4105,L,链路性能,,,,,,,,UMR.4105,80,链路性能,UPL.4105,90,链路性能,新增,,,,,,,,,,
4110,L,链路监控,,,,,,,,UMR.4110,81,链路监控,UPL.4110,91,链路监控,新增,,,,,,,,,,
4115,L,链路安保,,,,,,,,UMR.4115,81,链路安保,UPL.4115,91,链路安保,新增,,,,,,,,,,
4120,L,持续适航文件,,,,,,,,UMR.4120,81,持续适航文件,UPL.4120,92,持续适航文件,新增,,,,,,,,,,
5000,R,总则,,,,,,,,UMR.5000,82,总则,UPL.5000,92,总则,新增,,,,,,,,,,
5110,R,系统、设备的功能和安装,,,,,,,,UMR.5110,82,系统、设备的功能和安装,UPL.5110,92,系统、设备的功能和安装,新增,,,,,,,,,,
5115,R,飞行机组界面,,,,,,,,UMR.5115,82,飞行机组界面,UPL.5115,93,飞行机组界面,新增,,,,,,,,,,
5120,R,飞行机组界面设备的安装和使用,,,,,,,,UMR.5120,83,飞行机组界面设备的安装和使用,UPL.5120,93,飞行机组界面设备的安装和使用,新增,,,,,,,,,,
5125,R,指示和显示,,,,,,,,UMR.5125,83,指示和显示,UPL.5125,94,遥控台(站)的指示和显示,新增,,,,,,,,,,
5130,R,通信,,,,,,,,UMR.5130,85,通信,UPL.5130,95,遥控台(站)通信,新增,,,,,,,,,,
5135,R,数据记录、存储和读取,,,,,,,,UMR.5135,85,数据记录、存储和读取,UPL.5135,95,数据记录、存储和读取,新增,,,,,,,,,,
5140,R,最小飞行机组,,,,,,,,UMR.5140,85,最小飞行机组,UPL.5140,96,最小飞行机组,新增,,,,,,,,,,
5145,R,电磁干扰防护,,,,,,,,UMR.5145,86,电磁干扰防护,UPL.5145,96,电磁干扰防护,新增,,,,,,,,,,
5150,R,系统安保,,,,,,,,UMR.5150,86,系统安保,UPL.5150,96,系统安保,新增,,,,,,,,,,
5155,R,遥控台(站)的切换,,,,,,,,UMR.5155,86,遥控台(站)的切换,UPL.5155,97,遥控台(站)的切换,新增,,,,,,,,,,
5200,R,工作环境和人为因素,,,,,,,,UMR.5200,87,工作环境和人为因素,UPL.5200,97,运行环境和人为因素,新增,,,,,,,,,,
5205,R,电力供应,,,,,,,,UMR.5205,87,电力供应,UPL.5205,97,电力供应,新增,,,,,,,,,,
5210,R,防火,,,,,,,,UMR.5210,87,防火,UPL.5210,98,防火,新增,,,,,,,,,,
5215,R,电气搭接、闪电与静电防护,,,,,,,,UMR.5215,88,电气搭接、闪电与静电防护,UPL.5215,98,电气搭接、闪电与静电防护,新增,,,,,,,,,,
5220,R,危险防护和安全设备,,,,,,,,UMR.5220,88,危险防护和安全设备,UPL.5220,98,危险防护和安全设备,新增,,,,,,,,,,
5230,R,应急撤离,,,,,,,,UMR.5230,88,应急撤离,UPL.5230,99,应急撤离,新增,,,,,,,,,,
5300,R,运输、组装和存储,,,,,,,,UMR.5300,88,运输、组装和存储,UPL.5300,99,运输、组装和存储,新增,,,,,,,,,,
5305,R,遥控台(站)设备标记及标牌,,,,,,,,UMR.5305,89,遥控台(站)设备标记及标牌,UPL.5305,99,遥控台(站)设备标记标牌,新增,,,,,,,,,,
5310,R,遥控台(站)使用手册,,,,,,,,UMR.5310,89,遥控台(站)使用手册,UPL.5310,99,遥控台(站)使用手册,新增,,,,,,,,,,
5315,R,持续适航文件,,,,,,,,UMR.5315,89,持续适航文件,UPL.5315,100,持续适航文件,新增,,,,,,,,,,
